    PID COMMAND         %MEM %CPU
   2272 gnome-shell      5.8  1.2
   2936 mutter-x11-fram  1.7  0.0
   2809 gsd-xsettings    1.3  0.0
   1224 dockerd          1.2  0.1
   2358 Xwayland         1.1  0.0
   2403 evolution-alarm  1.0  0.0
   1189 containerd       0.8  0.1
   2359 evolution-sourc  0.7  0.0
   2930 xdg-desktop-por  0.6  0.0
    895 snapd            0.6  0.1
   3070 update-notifier  0.5  0.0
   2731 evolution-addre  0.5  0.0
   2686 snapd-desktop-i  0.5  0.0
   2565 ibus-extension-  0.4  0.1
